,Bankrupt?, Net Value Growth Rate, Quick Ratio, Total debt/Total net worth, Debt ratio %, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Inventory and accounts receivable/Net value, Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Allocation rate per person, Cash/Current Liability, Current Liability to Assets, Inventory/Current Liability, Current Liabilities/Equity, Long-term Liability to Current Assets, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Equity, Equity to Long-term Liability, Current Liability to Current Assets, Liability-Assets Flag, Total assets to GNP price, Liability to Equity, Degree of Financial Leverage (DFL)
0,1,0.000326977269203,0.0012077550852353,0.0212659243655332,0.207576261450555,0.0050244547286145,0.390284354359258,0.006478502486107,0.398035698256887,0.0001165006532358,0.0329032258064516,0.0341641819543792,0.0371353015800987,0.0001473360247605,0.147308450425486,0.001035989991658,0.339077006789355,0.02559236799775,0.064855707690831,701000000.0,6550000000.0,0.6715676535815,0.424205762216667,0.339077006789355,0.126549487816618,0.11825047660899,0,0.0092194400211029,0.29020189277926,0.0266006307607414
1,1,0.0004430401005442,0.0040393668269104,0.0125023937843679,0.171176346101521,0.0050588817540408,0.376760019951553,0.0058350394852296,0.397724882539793,719000000.0,0.0254838709677419,0.0068886506176284,0.0123349721287826,0.0013839100814699,0.0569628274180797,0.0052096823995494,0.329740147869877,0.0239468186673397,0.0255158599950638,0.0001065197627902,7700000000.0,0.671569942261066,0.468828128338473,0.329740147869877,0.120916105834965,0.0477752815903248,0,0.0083233017948103,0.283845979801729,0.264576819837375
2,1,0.0003964253147034,0.0053475602224365,0.0212476860084444,0.207515796474892,0.0050998994135753,0.379092920106557,0.0065619820610314,0.406580451031118,2650000000.0,0.0133870967741935,0.0289969595934374,0.141016311871331,5340000000.0,0.0981620645437837,0.0138787857963224,0.334776851319847,0.0037151156933692,0.0213874282332057,0.0017910937001909,0.001022676471902,0.671571321761166,0.276179222234543,0.334776851319847,0.117922319423666,0.0253464891288078,0,0.0400028528527523,0.290188532942043,0.0265547199199004
3,1,0.0003824259063219,0.0028964911470803,0.0095724017180532,0.151464764035432,0.0050469240634646,0.379742687599394,0.0053658477137564,0.397924501254651,9150000000.0,0.0280645161290323,0.015463478401363,0.0213199897441037,0.0010106464315761,0.0987146304496934,0.0035401478961941,0.33150897867186,0.0221651997451294,0.0241610701740241,8140000000.0,6050000000.0,0.671519170200148,0.559143963323496,0.33150897867186,0.12076045528683,0.0672496172630687,0,0.0032524752911273,0.281721192981814,0.0266966344214761
4,1,0.0004389475818729,0.0037274466086162,0.0051496001240208,0.106509054630105,0.0053033191962841,0.375025442703033,0.0066235253972896,0.400078775707608,0.0002935211263343,0.0401612903225807,0.0581114228221436,0.0239882116504549,0.000680463559654,0.110194845896651,0.0048685702885864,0.33072631939891,0.0,0.0263852456518637,6680000000.0,5050000000.0,0.67156305250703,0.309554916594047,0.33072631939891,0.110933233663468,0.0477253717624306,0,0.0038775630938002,0.278513789880418,0.0247518480523254
5,1,0.0003517819250519,0.0008546613981262,0.0142131516792967,0.180427487377936,0.0049131925890905,0.38144818747302,0.0057491225504533,0.400419065328909,9300000000.0,0.0296774193548387,0.0213004714833365,0.0328287701112501,0.0001008563413234,0.13900210638427,0.0048791312032084,0.335534372009755,0.0037725048904946,0.0400936219797891,8010000000.0,2810000000.0,0.671567592711671,0.603193479638275,0.335534372009755,0.112917172167462,0.099521933114496,0,0.0052778749010734,0.285087100359518,0.026675365750547
6,0,0.0003517569706697,0.0028690421678704,0.0244412223346921,0.216101823019016,0.0050050443378652,0.384998982291879,0.008043896850931,0.400574473187455,0.0001452475676706,0.0408064516129032,0.0114595420295815,0.0097031414638638,0.0010503117869961,0.115920411679634,0.0021593494146816,0.337392013222506,0.0093474263545427,0.0928023065929925,0.0001058010525107,9560000000.0,0.671562260304254,0.355853781517835,0.337392013222506,0.120561366466385,0.060765124792415,0,0.0183718717412392,0.292504124196417,0.0266222980418273
7,0,0.0004510504572116,0.0073045476720146,0.0052781805414968,0.108202073948665,0.0056401645589568,0.374219104729994,0.0063834454518865,0.400882609458712,0.0005182009575748,0.0462903225806452,0.0280774936474597,0.0070580410645001,0.0008881219853254,0.0870418011288855,0.005755846417555,0.329803725937385,0.0053456555444072,0.0254821527696264,7290000000.0,6180000000.0,0.67157176316869,0.218473358265378,0.329803725937385,0.114507968841708,0.0302011045942807,0,0.0100045037641927,0.278607305606177,0.0270305165537491
8,0,0.0004527224008151,0.0118230239542251,0.0022661158682825,0.058590561417299,0.005417946174319,0.370253398138601,0.0053658477137564,0.397462296847766,0.0002458617681924,0.0295161290322581,0.0163829443473407,0.0088146221616528,0.0131902147956569,0.0580597284096259,0.0043847546844966,0.328092755880752,0.0,0.0298840610686264,0.0001026722104262,9840000000.0,0.671576185113832,0.323861362852714,0.328092755880752,0.110933233663468,0.021710461445184,0,0.0008240712069684,0.276422514083071,0.0268906304546816
9,0,0.0004449116792048,0.0075166534204547,0.0063542436097356,0.121292741179672,0.0054752596633365,0.374508760118367,0.0058185873062298,0.40636341591832,0.0007383418023256,0.0766129032258065,0.0332799670989821,0.0057206126777132,0.0004908833959261,0.0945633028255581,0.0103429552829112,0.330409487644987,0.0049506820858788,0.0358910619841396,5110000000.0,3600000000.0,0.671572410592597,0.254953362305477,0.330409487644987,0.11549897825205,0.0254943019553504,0,0.005797642207721,0.279387518743906,0.0272430149466587
10,0,0.0004485550189975,0.0034492137738977,0.0049325636746641,0.103576503310457,0.0058105755539587,0.374179962109944,0.0081298137857073,0.395661709245294,0.0001747509798537,0.0211290322580645,0.0138948048705257,0.010748685957007,0.0003358964624396,0.0320868027606662,0.0067350410898377,0.327484654084158,0.0641265281527166,0.0288024007502241,4760000000.0,2920000000.0,0.671572321509715,0.225490748514615,0.327484654084158,0.120942626541559,0.0471663480130232,0,0.0769722571664823,0.278356431683457,0.0269710912232694
11,0,0.0004550681127365,0.0051229776652646,0.0042923973408475,0.0943858270097046,0.0054142198242325,0.373113046123427,0.0069690211562835,0.397227845337027,0.0001066661825081,0.0196774193548387,0.0104255100392168,0.0128583726771745,0.0022537354878338,0.0479948129460321,0.0086499397602957,0.328042000740244,0.0178464059959841,0.0569522804331302,0.0001276005861879,8360000000.0,0.671574375431665,0.328376158606439,0.328042000740244,0.116458578430907,0.0337116016801524,0,0.0073178811657058,0.277892081792766,0.0273908578413325
12,0,0.0004429652373977,0.004029385379925,0.0087343492098231,0.144662454273362,0.0053332412313073,0.377306898271686,0.0065534513015501,0.400952275050474,0.0002140888627645,0.0338709677419355,0.0353245303526578,0.0210172990591507,0.0032200408294524,0.0956718995297444,0.0069160662683973,0.331114214993752,0.0095131798604985,0.0289815649541968,0.0001076228802548,6910000000.0,0.671563028896451,0.283665961816029,0.331114214993752,0.116955694935558,0.0435139896178212,0,0.008232490111815,0.281113383864046,0.0274797246787734
13,0,0.0004420918340228,0.0064467670717054,0.0051550716311474,0.106569519605768,0.0051959224497603,0.373151070382904,0.0064986107048844,0.399927387017817,0.0001792899663434,0.0337096774193548,0.0261181205293539,0.0181918509052849,0.0056636431787699,0.0691661659638453,0.0094136616854057,0.329035251137398,0.004786619061247,0.0244835563399058,9230000000.0,6330000000.0,0.671579757418671,0.412271983710146,0.329035251137398,0.113571080191011,0.0289016723593667,0,0.0052622229684534,0.278517752959524,0.0249997401762429
14,0,0.0004737339905785,0.01202327673437,0.0039832571881924,0.0896393264201711,0.0051568791996,0.373692356900173,0.0054523739884956,0.39771014558769,9460000000.0,0.0248387096774194,0.0259477402582142,0.0384491560825874,0.0040087963146452,0.027638023218934,0.0139167657412173,0.327227478764221,0.0226820286711224,0.0119415074643122,0.0001061919933769,8160000000.0,0.671554910562093,0.57759008455658,0.327227478764221,0.119471450608925,0.0155531326728028,0,0.0039539229308491,0.27766768513616,0.0268962866110795
15,0,0.000469242201793,0.0070631214230549,0.0046115685899014,0.0990718626235753,0.0056205316995457,0.373544733304554,0.0061896753436677,0.399362023946207,0.0003056250903069,0.0317741935483871,0.0276956068328364,0.0134610397832168,0.0003719079468762,0.0533853563563156,0.0102946982437176,0.328300316444762,0.0163230488730028,0.0553818953293584,8710000000.0,6060000000.0,0.671572248325966,0.26144632645713,0.328300316444762,0.118419700253211,0.0258128487067077,0,0.0065903461441656,0.278123542773057,0.0268972408952144
16,0,0.0004585617262363,0.004346296321712,0.0023974320393219,0.0612812528342957,0.0061036502074061,0.372267565530338,0.0055973968996782,0.394604667862593,5600000000.0,0.0116129032258065,0.0150140269964602,0.0339904750449324,0.0071649135908568,0.0387616550386571,0.0043342328312609,0.327470954255664,0.0174691601196355,0.0076786087302244,0.000272167668023,0.0002135963267975,0.671569399403339,0.176992241780613,0.327470954255664,0.113682405362067,0.0462912301964762,0,0.0136106545588463,0.276517862314948,0.0270027988958809
17,0,0.0004717625943893,0.0073831515670247,0.0033239405794326,0.0787253983130272,0.0058633006268249,0.372724975004641,0.006084259530077,0.39900967681864,0.0002284623199819,0.027741935483871,0.0164035074835128,0.0071214744162787,0.0016393357266088,0.0446373780123085,0.0165386276180905,0.327786671384638,0.0102426745166861,0.0400184855275817,0.0001181152415465,7550000000.0,0.671570174888739,0.212349965170013,0.327786671384638,0.11598298755793,0.0181566375652698,0,0.0027463052778231,0.277189778453972,0.0269078077255092
